name,boat,event,gender,time,type,finish,level,venue,month,day,year,certified,notes,venue.long,race.name
Adam van Koeverden,K1,200,Men,37.602,Final,3rd,,Canada Nationals 2001,7,23,2001,yes,,Canada Nationals 2001,na
Adam van Koeverden,K1,500,Men,103.162,Final,1st,,Canada Nationals 2001,7,23,2001,yes,,Canada Nationals 2001,na
Adam van Koeverden,K1,1000,Men,215.589,Final,1st,senior,Canada Nationals 2001,7,23,2001,yes,racing up in senior,Canada Nationals 2001,na
Adam van Koeverden,K1,200,Men,40.445,Heat,3rd,,Canada Nationals 2001,7,23,2001,yes,,Canada Nationals 2001,na
Adam van Koeverden,K1,500,Men,112.659,Heat,1st,,Canada Nationals 2001,7,23,2001,yes,,Canada Nationals 2001,na
Adam van Koeverden,K1,1000,Men,237.809,Heat,1st,senior,Canada Nationals 2001,7,23,2001,yes,racing up in senior,Canada Nationals 2001,na
Adam van Koeverden,K1,500,Men,98.818,Final,6th,,Worlds 2003,7,23,2003,yes,,Worlds 2003,na
Adam van Koeverden,K1,1000,Men,209.72,Final,2nd,,Worlds 2003,7,23,2003,yes,,Worlds 2003,na
Adam van Koeverden,K1,500,Men,97.92,Final,1st,,Olympics 2004,7,23,2004,yes,,Olympics 2004,na
Adam van Koeverden,K1,1000,Men,208.22,Final,3rd,,Olympics 2004,7,23,2004,yes,,Olympics 2004,na
Adam van Koeverden,K1,500,Men,97.082,Final,3rd,,Worlds 2005,7,23,2005,yes,,Worlds 2005,na
Adam van Koeverden,K1,1000,Men,209.841,Final,2nd,,Worlds 2005,7,23,2005,yes,,Worlds 2005,na
Adam van Koeverden,K1,1000,Men,208.629,Final A,1st,senior,Canadian Trials 1 2006,4,21,2006,yes,,Canadian Trials 1 2006,na
Adam van Koeverden,K1,500,Men,106.721,Final A,1st,senior,Canadian Trials 1 2006,4,21,2006,yes,,Canadian Trials 1 2006,na
Adam van Koeverden,K1,1000,Men,211.796,Heat,1st,senior,Canadian Trials 1 2006,4,21,2006,yes,,Canadian Trials 1 2006,na
Adam van Koeverden,K1,500,Men,102.106,Heat,1st,senior,Canadian Trials 1 2006,4,21,2006,yes,,Canadian Trials 1 2006,na
Laurence Vincent-Lapointe,C1,500,Women,190.497,Final,3rd,,Championnats du Quebec 2006,7,1,2006,yes,,Championnats du Quebec 2006,na
Adam van Koeverden,K1,500,Men,96.279,Final,4th,,Worlds 2006,7,23,2006,yes,,Worlds 2006,na
Adam van Koeverden,K1,500,Men,100.42,Final,4th,,Worlds 2006,7,23,2006,yes,,Worlds 2006,na
Adam van Koeverden,K1,1000,Men,220.169,Final,4th,,Worlds 2006,7,23,2006,yes,,Worlds 2006,na
Adam van Koeverden,K1,1000,Men,220.675,Final,4th,,Worlds 2006,7,23,2006,yes,,Worlds 2006,na
Laurence Vincent-Lapointe,C1,1000,Women,331.295,Final,6th,,Canadian Nationals 2007,7,1,2007,yes,,Canadian Nationals 2007,na
Laurence Vincent-Lapointe,C1,1000,Women,331.397,Heat,3rd,,Canadian Nationals 2007,7,1,2007,yes,,Canadian Nationals 2007,na
Adam van Koeverden,K1,1000,Men,209.218,Final A,1st,senior,Canadian Trials 1 2007,4,14,2007,yes,,Canadian Trials 1 2007,na
Adam van Koeverden,K1,500,Men,113.152,Final A,1st,senior,Canadian Trials 1 2007,4,14,2007,yes,,Canadian Trials 1 2007,na
Adam van Koeverden,K1,1000,Men,217.115,Heat,1st,senior,Canadian Trials 1 2007,4,14,2007,yes,,Canadian Trials 1 2007,na
Adam van Koeverden,K1,500,Men,114.132,Heat,1st,senior,Canadian Trials 1 2007,4,14,2007,yes,,Canadian Trials 1 2007,na
Laurence Vincent-Lapointe,C1,1000,Women,343.25,Heat,5th,,Championnats du Quebec 2007,7,1,2007,yes,,Championnats du Quebec 2007,na
Laurence Vincent-Lapointe,C1,2000,Women,732.36,Heat,5th,,Shebrooke 2007,7,1,2007,yes,,Shebrooke 2007,na
Laurence Vincent-Lapointe,C1,200,Women,54.631,Final,3rd,juvenile,Canadian Nationals 2008,7,1,2008,yes,racing up,Canadian Nationals 2008,na
Laurence Vincent-Lapointe,C1,500,Women,148.579,Final,2nd,,Canadian Nationals 2008,7,1,2008,yes,racing up,Canadian Nationals 2008,na
