"name","age","club","boat","gender","country","type"
"√âdouard Beaumier",2000,"","C","M","CAN",""
"a Beryl",NA,NA,NA,"F","USA",NA
"Aadhadvan Nandakumar",2005,"Cascade","K","M","USA",""
"Aadhithyan Nandakumar",NA,"Cascade","K","M","USA",""
"Aaron Berghash",NA,NA,NA,"M","USA",NA
"Aaron Dickson",2001,"LCKC","C","M","USA",""
"Aaron Laird",NA,"GHCKRT","K","M","USA",""
"Aaron Mullican",1994,"LCKC","K","M","USA","TeamUSA"
"Aaron Paulson",NA,NA,NA,"M","USA",NA
"Aaron Rublee",NA,"KCKC","C","M","CAN",""
"Aaron Scull",NA,"SCKC","K","M","USA",""
"Aaron Small",2001,"SCKC","K","M","USA",""
"Aasim Saleh",1984,"SCKC","K","M","USA",""
"Abbas Sen",2001,"","K","M","TUR",""
"Abbie Barber",NA,"GHCKRT","K","F","USA",""
"Abby Charlesworth",NA,"FLCC","K","F","CAN",""
"Abby Ernst",NA,"SCKC","K","F","USA",""
"Abby Nichols",NA,NA,NA,"F","USA",NA
"Abby Scoggins",2004,"BCKST","K","F","USA",""
"Abdurakhim Abdurashidov",2001,"","C","M","UZB",""
"Abhinav Erukulapati",2005,"IKIAKA","K","M","USA",""
"Abigail Clark",NA,"GHCKRT","C","F","USA",""
"Abigail Donaldson",NA,NA,NA,"F","USA",NA
"Abigail Hennigan",NA,NA,NA,"F","USA",NA
"Abigail Ronayne",NA,"PCA","C","F","CAN",""
"Abigail Van der Merwe",NA,NA,NA,"F","USA",NA
"Abigail Van Dermerwe",2002,"","C","F","CAN",""
"Abraham Dietz",1996,"","K","M","ARG",""
"Adam Baird",2001,"","K","M","CAN",""
"Adam Bende",2002,"","K","M","SVK",""
"Ádám Besenyei",2001,"","C","M","HUN",""
"Ádám Farkas",2000,"","C","M","HUN",""
"Ádám Gaszner",2001,"","K","M","HUN",""
"Ádám Kiss",2002,"","K","M","HUN",""
"Ádám Kocsis",2000,"","C","M","HUN",""
"Ádám Lantos",NA,"","C","M","HUN",""
"Adam Lee",NA,NA,NA,"M","USA",NA
"Adam Novotný",2000,"","K","M","CZE",""
"Adam Poole",NA,NA,NA,"M","USA",NA
"Adam Richard",2000,"","C","M","CAN",""
"Adam van Koeverden",1982,"","K","M","CAN","Elite"
"Adam Varga",1999,"","K","M","HUN",""
"Adam Vetter",NA,"FCRCC","C","M","CAN",""
"Adél Pető",2002,"","K","F","HUN",""
"Adéla Házová",2002,"","K","F","CZE",""
"Adela Janatova",2002,"","C","F","CZE",""
"Adele Klee",NA,"SCKC","K","F","USA",""
"Adele Mustafic",2003,"","K","F","AUS",""
"Ademola Adedapo",2002,"","K","M","AUS",""
"Adina Cale",1999,"","C","F","ROU",""
"Adrian Colville",NA,"CCKC","K","M","USA",""
"Adrian Dana",2000,"","K","M","ROU",""
"Adrian Garay",NA,NA,NA,"M","USA",NA
"Adrian Klos",2000,"","C","M","POL",""
"Adrian Valdez",NA,"GHCKRT","K","M","USA",""
"Adriana Buller",NA,NA,NA,"F","USA",NA
"Adriana Osende",2001,"","K","F","CAN",""
"Adriana Paniagua",NA,"","C","F","ESP",""
"Adrianna Antos",2000,"","C","F","POL",""
"Adrianna Kąkol",2001,"","K","F","POL",""
"Adrien Bart",NA,"","C","M","FRA",""
"Adrienn Lődi",2002,"","K","F","HUN",""
"Adrienne Remijan",NA,NA,NA,"F","USA",NA
"Adrijan Bužimkić",2001,"","K","M","CRO",""
"Afef Ismail",NA,"","K","F","TUN",""
"Afton Fitzhenry",NA,"","C","F","GBR",""
"Agustin Rodriguez",1998,"","K","M","ARG",""
"Agustín Vernice",NA,"","K","M","ARG",""
"Ahmed Elbedwihy",NA,"","K","M","EGY",""
"Aidan Denny",1998,"SCKC","K","M","USA",""
"Aidan Dumont",2001,"Carleton Place","K","M","CAN",""
"Aiden Tabata",2000,"KCKC","K","M","CAN",""
"Aiden Winsor",2001,"","K","F","CAN",""
"Aigars Cirulis",2001,"","K","M","LAT",""
"Ailish Mcnulty",1995,"","K","F","CAN",""
"Ailyn Gonzalez",2003,"","K","F","MEX",""
"Aimee Fisher",NA,"","K","F","NZL",""
"Airi Hidaka",2001,"","C","F","JPN",""
"Airianna Gibson",NA,"FPY","K","F","CAN",""
"Aivar Bergner",2002,"","K","M","LIT",""
"Aivis Tints",NA,"","C","M","LAT",""
"Akihiro Inoue",NA,"","K","M","JPN",""
"Akira Komata",NA,"","K","M","JPN",""
"Akira Matsukawa",2002,"","K","M","JPN",""
"Akira Murphy",NA,"SCKC","K","M","USA",""
"Akos Gacsal",NA,"","K","M","SVK",""
"Ákos Orosz",2002,"","K","M","HUN",""
"Aksel Schroeder",NA,"NCKC","K","M","CAN",""
